state,2010,2000,1990,1980,1970,1960,1950,1940,1930,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
AL,7,7,7,7,7,8,9,9,9,10,9,9,8,8,6,7,7,5,3,-,-,-
AK,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZ,9,8,6,5,4,3,2,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
AR,4,4,4,4,4,4,6,7,7,7,7,6,5,4,3,2,1,-,-,-,-,-
CA,53,53,52,45,43,38,30,23,20,11,8,7,6,4,3,2,-,-,-,-,-,-
CO,7,7,6,6,5,4,4,4,4,4,3,2,1,-,-,-,-,-,-,-,-,-
CT,5,5,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,6,6,7,7,7
DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
FL,27,25,23,19,15,12,8,6,5,4,3,2,2,2,1,1,-,-,-,-,-,-
GA,14,13,11,10,10,10,10,10,10,12,11,11,10,9,7,8,8,9,7,6,4,2
HI,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ID,2,2,2,2,2,2,2,2,2,2,1,1,-,-,-,-,-,-,-,-,-,-
IL,18,19,20,22,24,24,25,26,27,27,25,22,20,19,14,9,7,3,1,-,-,-
IN,9,9,10,10,11,11,11,11,12,13,13,13,13,13,11,11,10,7,3,-,-,-
IA,4,5,5,6,6,7,8,8,9,11,11,11,11,9,6,2,-,-,-,-,-,-
KS,4,4,4,5,5,5,6,6,7,8,8,8,7,3,1,-,-,-,-,-,-,-
KY,6,6,6,7,7,7,8,9,9,11,11,11,11,10,9,10,10,13,12,10,6,2
LA,6,7,7,8,8,8,8,8,8,8,7,6,6,6,5,4,4,3,3,1,-,-
ME,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,6,7,8,7,-,-,-
MD,8,8,8,8,8,8,7,6,6,6,6,6,6,6,5,6,6,8,9,9,9,8
MA,9,10,10,11,12,12,14,14,15,16,14,13,12,11,10,11,10,12,13,20,17,14
MI,14,15,16,18,19,19,18,17,17,13,12,12,11,9,6,4,3,-,-,-,-,-
MN,8,8,8,8,8,8,9,9,9,10,9,7,5,3,2,-,-,-,-,-,-,-
MS,4,4,5,5,5,5,6,7,7,8,8,7,7,6,5,5,4,2,1,-,-,-
MO,8,9,9,9,10,10,11,13,13,16,16,15,14,13,9,7,5,2,1,-,-,-
MT,1,1,1,2,2,2,2,2,2,2,1,1,-,-,-,-,-,-,-,-,-,-
NE,3,3,3,3,3,3,4,4,5,6,6,6,3,1,-,-,-,-,-,-,-,-
NV,4,3,2,2,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-
NH,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,6,6,5,4
NJ,12,13,13,14,15,15,14,14,14,12,10,8,7,7,5,5,5,6,6,6,6,5
NM,3,3,3,3,2,2,2,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
NY,27,29,31,34,39,41,43,45,45,43,37,34,34,33,31,33,34,40,34,27,17,10
NC,13,13,12,11,11,11,12,12,11,10,10,9,9,8,7,8,9,13,13,13,12,10
ND,1,1,1,1,1,2,2,2,2,3,2,1,-,-,-,-,-,-,-,-,-,-
OH,16,18,19,21,23,24,23,23,24,22,21,21,21,20,19,21,21,19,14,6,1,-
OK,5,5,6,6,6,6,6,8,9,8,-,-,-,-,-,-,-,-,-,-,-,-
OR,5,5,5,5,4,4,4,4,3,3,2,2,1,1,1,-,-,-,-,-,-,-
PA,18,19,21,23,25,27,30,33,34,36,32,30,28,27,24,25,24,28,26,23,18,13
RI,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
SC,7,6,6,6,6,6,6,6,6,7,7,7,7,5,4,6,7,9,9,9,8,6
SD,1,1,1,1,2,2,2,2,2,3,2,2,-,-,-,-,-,-,-,-,-,-
TN,9,9,9,9,8,9,9,10,9,10,10,10,10,10,8,10,11,13,9,6,3,-
TX,36,32,30,27,24,23,22,21,21,18,16,13,11,6,4,2,-,-,-,-,-,-
UT,4,3,3,3,2,2,2,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-
VT,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,5,5,6,4,2
VA,11,11,11,10,10,10,10,9,9,10,10,10,10,9,11,13,15,21,22,23,22,19
WA,10,9,9,8,7,7,7,6,6,5,3,2,-,-,-,-,-,-,-,-,-,-
WV,3,3,3,4,4,5,6,6,6,6,5,4,4,3,-,-,-,-,-,-,-,-
WI,8,8,9,9,9,10,10,10,10,11,11,10,9,8,6,3,-,-,-,-,-,-
WY,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-
